instance=26,n=50,m=20,d=3,type=B1
BinType:1, cost=601
Link 51: itemNo1=5, itemNo2=44, cost=61
Link 52: itemNo1=5, itemNo2=46, cost=69
Link 53: itemNo1=6, itemNo2=7, cost=61
Link 54: itemNo1=6, itemNo2=16, cost=4
Link 55: itemNo1=6, itemNo2=25, cost=3
Link 56: itemNo1=6, itemNo2=31, cost=35
Link 57: itemNo1=6, itemNo2=32, cost=46
Link 58: itemNo1=6, itemNo2=48, cost=82
Link 59: itemNo1=6, itemNo2=49, cost=75
Link 60: itemNo1=7, itemNo2=9, cost=86
Link 61: itemNo1=7, itemNo2=11, cost=69
Link 62: itemNo1=7, itemNo2=19, cost=38
Link 63: itemNo1=7, itemNo2=20, cost=78
Link 64: itemNo1=7, itemNo2=22, cost=10
Link 65: itemNo1=7, itemNo2=26, cost=46
Link 66: itemNo1=7, itemNo2=39, cost=80
Link 67: itemNo1=7, itemNo2=43, cost=84
Link 68: itemNo1=8, itemNo2=2, cost=78
Link 69: itemNo1=8, itemNo2=3, cost=51
Link 70: itemNo1=8, itemNo2=4, cost=72
Link 71: itemNo1=8, itemNo2=7, cost=45
Link 72: itemNo1=8, itemNo2=11, cost=50
Link 73: itemNo1=8, itemNo2=13, cost=60
Link 74: itemNo1=8, itemNo2=19, cost=54
Link 75: itemNo1=8, itemNo2=21, cost=62
Link 76: itemNo1=8, itemNo2=23, cost=59
Link 77: itemNo1=8, itemNo2=31, cost=46
Link 78: itemNo1=8, itemNo2=37, cost=37
Link 79: itemNo1=8, itemNo2=39, cost=80
Link 80: itemNo1=8, itemNo2=42, cost=1
Link 81: itemNo1=8, itemNo2=46, cost=97
Link 82: itemNo1=8, itemNo2=50, cost=1
Link 83: itemNo1=9, itemNo2=8, cost=48
Link 84: itemNo1=9, itemNo2=16, cost=41
Link 85: itemNo1=9, itemNo2=18, cost=83
Link 86: itemNo1=9, itemNo2=26, cost=69
Link 87: itemNo1=9, itemNo2=30, cost=64
Link 88: itemNo1=9, itemNo2=36, cost=33
Link 89: itemNo1=9, itemNo2=46, cost=58
Link 90: itemNo1=9, itemNo2=47, cost=87
Link 91: itemNo1=10, itemNo2=2, cost=21
Link 92: itemNo1=10, itemNo2=4, cost=49
Link 93: itemNo1=10, itemNo2=9, cost=43
Link 94: itemNo1=10, itemNo2=13, cost=38
Link 95: itemNo1=10, itemNo2=15, cost=26
Link 96: itemNo1=10, itemNo2=17, cost=38
Link 97: itemNo1=10, itemNo2=18, cost=2
Link 98: itemNo1=10, itemNo2=22, cost=73
Link 99: itemNo1=10, itemNo2=25, cost=42
Link 100: itemNo1=10, itemNo2=26, cost=7
Link 101: itemNo1=10, itemNo2=32, cost=95
Link 102: itemNo1=10, itemNo2=41, cost=39
Link 103: itemNo1=10, itemNo2=48, cost=70
Link 104: itemNo1=10, itemNo2=49, cost=48
Link 105: itemNo1=11, itemNo2=10, cost=68
Link 106: itemNo1=11, itemNo2=18, cost=58
Link 107: itemNo1=11, itemNo2=25, cost=80
Link 108: itemNo1=11, itemNo2=28, cost=37
Link 109: itemNo1=11, itemNo2=30, cost=62
Link 110: itemNo1=11, itemNo2=31, cost=17
Link 111: itemNo1=11, itemNo2=38, cost=48
Link 112: itemNo1=11, itemNo2=40, cost=52
Link 113: itemNo1=11, itemNo2=47, cost=94
Link 114: itemNo1=11, itemNo2=49, cost=8
Link 115: itemNo1=12, itemNo2=3, cost=1
Link 116: itemNo1=12, itemNo2=6, cost=86
Link 117: itemNo1=12, itemNo2=27, cost=42
Link 118: itemNo1=12, itemNo2=28, cost=61
Link 119: itemNo1=12, itemNo2=33, cost=26
Link 120: itemNo1=12, itemNo2=34, cost=85
Link 121: itemNo1=12, itemNo2=40, cost=71
Link 122: itemNo1=12, itemNo2=43, cost=71
Link 123: itemNo1=12, itemNo2=50, cost=46
Link 124: itemNo1=13, itemNo2=5, cost=30
Link 125: itemNo1=13, itemNo2=16, cost=24
Link 126: itemNo1=13, itemNo2=17, cost=81
Link 127: itemNo1=13, itemNo2=22, cost=28
Link 128: itemNo1=13, itemNo2=23, cost=85
Link 129: itemNo1=13, itemNo2=28, cost=45
Link 130: itemNo1=13, itemNo2=30, cost=61
Link 131: itemNo1=14, itemNo2=1, cost=80
Link 132: itemNo1=14, itemNo2=4, cost=9
Link 133: itemNo1=14, itemNo2=6, cost=44
Link 134: itemNo1=14, itemNo2=8, cost=22
Link 135: itemNo1=14, itemNo2=10, cost=38
Link 136: itemNo1=14, itemNo2=15, cost=69
Link 137: itemNo1=14, itemNo2=16, cost=63
Link 138: itemNo1=14, itemNo2=19, cost=83
Link 139: itemNo1=14, itemNo2=20, cost=79
Link 140: itemNo1=14, itemNo2=27, cost=11
Link 141: itemNo1=14, itemNo2=36, cost=82
Link 142: itemNo1=14, itemNo2=49, cost=93
Link 143: itemNo1=15, itemNo2=4, cost=34
Link 144: itemNo1=15, itemNo2=7, cost=15
Link 145: itemNo1=15, itemNo2=12, cost=17
Link 146: itemNo1=15, itemNo2=19, cost=40
Link 147: itemNo1=15, itemNo2=20, cost=46
Link 148: itemNo1=15, itemNo2=22, cost=33
Link 149: itemNo1=15, itemNo2=26, cost=63
Link 150: itemNo1=15, itemNo2=32, cost=32
Link 151: itemNo1=15, itemNo2=38, cost=62
Link 152: itemNo1=15, itemNo2=50, cost=5
Link 153: itemNo1=16, itemNo2=1, cost=75
Link 154: itemNo1=16, itemNo2=3, cost=84
Link 155: itemNo1=16, itemNo2=4, cost=63
Link 156: itemNo1=16, itemNo2=19, cost=69
Link 157: itemNo1=16, itemNo2=21, cost=35
Link 158: itemNo1=16, itemNo2=24, cost=71
Link 159: itemNo1=16, itemNo2=26, cost=97
Link 160: itemNo1=16, itemNo2=27, cost=31
Link 161: itemNo1=16, itemNo2=33, cost=55
Link 162: itemNo1=16, itemNo2=49, cost=42
Link 163: itemNo1=17, itemNo2=3, cost=35
Link 164: itemNo1=17, itemNo2=5, cost=73
Link 165: itemNo1=17, itemNo2=6, cost=26
Link 166: itemNo1=17, itemNo2=15, cost=83
Link 167: itemNo1=17, itemNo2=16, cost=52
Link 168: itemNo1=17, itemNo2=24, cost=65
Link 169: itemNo1=17, itemNo2=26, cost=11
Link 170: itemNo1=17, itemNo2=32, cost=7
Link 171: itemNo1=17, itemNo2=33, cost=81
Link 172: itemNo1=17, itemNo2=37, cost=66
Link 173: itemNo1=17, itemNo2=40, cost=79
Link 174: itemNo1=17, itemNo2=41, cost=4
Link 175: itemNo1=17, itemNo2=43, cost=87
Link 176: itemNo1=17, itemNo2=44, cost=17
Link 177: itemNo1=17, itemNo2=49, cost=70
Link 178: itemNo1=18, itemNo2=3, cost=43
Link 179: itemNo1=18, itemNo2=10, cost=3
Link 180: itemNo1=18, itemNo2=11, cost=12
Link 181: itemNo1=18, itemNo2=13, cost=68
Link 182: itemNo1=18, itemNo2=24, cost=21
Link 183: itemNo1=18, itemNo2=25, cost=64
Link 184: itemNo1=18, itemNo2=27, cost=35
Link 185: itemNo1=18, itemNo2=36, cost=3
Link 186: itemNo1=18, itemNo2=44, cost=30
Link 187: itemNo1=19, itemNo2=2, cost=13
Link 188: itemNo1=19, itemNo2=3, cost=5
Link 189: itemNo1=19, itemNo2=11, cost=3
Link 190: itemNo1=19, itemNo2=13, cost=4
Link 191: itemNo1=19, itemNo2=14, cost=54
Link 192: itemNo1=19, itemNo2=15, cost=99
Link 193: itemNo1=19, itemNo2=16, cost=58
Link 194: itemNo1=19, itemNo2=20, cost=88
Link 195: itemNo1=19, itemNo2=23, cost=72
Link 196: itemNo1=19, itemNo2=48, cost=6
Link 197: itemNo1=20, itemNo2=17, cost=37
Link 198: itemNo1=20, itemNo2=18, cost=61
Link 199: itemNo1=20, itemNo2=22, cost=8
Link 200: itemNo1=20, itemNo2=27, cost=58
Link 201: itemNo1=20, itemNo2=28, cost=41
Link 202: itemNo1=20, itemNo2=32, cost=52
Link 203: itemNo1=20, itemNo2=33, cost=14
Link 204: itemNo1=20, itemNo2=42, cost=85
Link 205: itemNo1=20, itemNo2=46, cost=78
Link 206: itemNo1=21, itemNo2=3, cost=63
Link 207: itemNo1=21, itemNo2=6, cost=89
Link 208: itemNo1=21, itemNo2=7, cost=60
Link 209: itemNo1=21, itemNo2=8, cost=11
Link 210: itemNo1=21, itemNo2=10, cost=64
Link 211: itemNo1=21, itemNo2=23, cost=67
Link 212: itemNo1=21, itemNo2=25, cost=8
Link 213: itemNo1=21, itemNo2=30, cost=59
Link 214: itemNo1=21, itemNo2=38, cost=73
Link 215: itemNo1=21, itemNo2=43, cost=6
Link 216: itemNo1=21, itemNo2=45, cost=31
Link 217: itemNo1=21, itemNo2=48, cost=66
Link 218: itemNo1=22, itemNo2=2, cost=94
Link 219: itemNo1=22, itemNo2=7, cost=40
Link 220: itemNo1=22, itemNo2=11, cost=75
Link 221: itemNo1=22, itemNo2=15, cost=12
Link 222: itemNo1=22, itemNo2=21, cost=95
Link 223: itemNo1=22, itemNo2=26, cost=86
Link 224: itemNo1=22, itemNo2=28, cost=71
Link 225: itemNo1=22, itemNo2=29, cost=85
Link 226: itemNo1=22, itemNo2=31, cost=83
Link 227: itemNo1=22, itemNo2=35, cost=81
Link 228: itemNo1=22, itemNo2=37, cost=93
Link 229: itemNo1=22, itemNo2=45, cost=41
Link 230: itemNo1=22, itemNo2=47, cost=5
Link 231: itemNo1=22, itemNo2=48, cost=51
Link 232: itemNo1=22, itemNo2=50, cost=81
Link 233: itemNo1=23, itemNo2=2, cost=87
Link 234: itemNo1=23, itemNo2=11, cost=97
Link 235: itemNo1=23, itemNo2=12, cost=26
Link 236: itemNo1=23, itemNo2=18, cost=43
Link 237: itemNo1=23, itemNo2=19, cost=83
Link 238: itemNo1=23, itemNo2=21, cost=52
Link 239: itemNo1=23, itemNo2=25, cost=76
Link 240: itemNo1=23, itemNo2=32, cost=35
Link 241: itemNo1=23, itemNo2=39, cost=44
Link 242: itemNo1=23, itemNo2=48, cost=42
Link 243: itemNo1=24, itemNo2=10, cost=50
Link 244: itemNo1=24, itemNo2=17, cost=83
Link 245: itemNo1=24, itemNo2=21, cost=29
Link 246: itemNo1=24, itemNo2=25, cost=29
Link 247: itemNo1=24, itemNo2=29, cost=39
Link 248: itemNo1=24, itemNo2=33, cost=77
Link 249: itemNo1=24, itemNo2=36, cost=36
Link 250: itemNo1=24, itemNo2=47, cost=26
Link 251: itemNo1=25, itemNo2=2, cost=91
Link 252: itemNo1=25, itemNo2=15, cost=16
Link 253: itemNo1=25, itemNo2=17, cost=32
Link 254: itemNo1=25, itemNo2=18, cost=37
Link 255: itemNo1=25, itemNo2=27, cost=1
Link 256: itemNo1=25, itemNo2=29, cost=6
Link 257: itemNo1=25, itemNo2=32, cost=65
Link 258: itemNo1=25, itemNo2=35, cost=95
Link 259: itemNo1=25, itemNo2=48, cost=7
Link 260: itemNo1=25, itemNo2=49, cost=63
Link 261: itemNo1=26, itemNo2=11, cost=66
Link 262: itemNo1=26, itemNo2=12, cost=95
Link 263: itemNo1=26, itemNo2=16, cost=55
Link 264: itemNo1=26, itemNo2=19, cost=93
Link 265: itemNo1=26, itemNo2=20, cost=14
Link 266: itemNo1=26, itemNo2=21, cost=12
Link 267: itemNo1=26, itemNo2=28, cost=24
Link 268: itemNo1=26, itemNo2=29, cost=70
Link 269: itemNo1=26, itemNo2=34, cost=65
Link 270: itemNo1=26, itemNo2=38, cost=43
Link 271: itemNo1=26, itemNo2=40, cost=57
Link 272: itemNo1=26, itemNo2=42, cost=37
Link 273: itemNo1=26, itemNo2=43, cost=65
Link 274: itemNo1=27, itemNo2=2, cost=69
Link 275: itemNo1=27, itemNo2=16, cost=96
Link 276: itemNo1=27, itemNo2=19, cost=55
Link 277: itemNo1=27, itemNo2=32, cost=85
Link 278: itemNo1=27, itemNo2=33, cost=78
Link 279: itemNo1=27, itemNo2=41, cost=94
Link 280: itemNo1=27, itemNo2=44, cost=39
Link 281: itemNo1=28, itemNo2=9, cost=52
Link 282: itemNo1=28, itemNo2=11, cost=42
Link 283: itemNo1=28, itemNo2=15, cost=47
Link 284: itemNo1=28, itemNo2=18, cost=19
Link 285: itemNo1=28, itemNo2=22, cost=80
Link 286: itemNo1=28, itemNo2=23, cost=63
Link 287: itemNo1=28, itemNo2=26, cost=15
Link 288: itemNo1=28, itemNo2=45, cost=12
Link 289: itemNo1=28, itemNo2=46, cost=5
Link 290: itemNo1=29, itemNo2=6, cost=25
Link 291: itemNo1=29, itemNo2=22, cost=28
Link 292: itemNo1=29, itemNo2=23, cost=91
Link 293: itemNo1=29, itemNo2=24, cost=92
Link 294: itemNo1=29, itemNo2=26, cost=93
Link 295: itemNo1=29, itemNo2=27, cost=72
Link 296: itemNo1=30, itemNo2=1, cost=44
Link 297: itemNo1=30, itemNo2=6, cost=60
Link 298: itemNo1=30, itemNo2=7, cost=32
Link 299: itemNo1=30, itemNo2=16, cost=82
Link 300: itemNo1=30, itemNo2=18, cost=68
Link 301: itemNo1=30, itemNo2=19, cost=51
Link 302: itemNo1=30, itemNo2=25, cost=31
Link 303: itemNo1=30, itemNo2=31, cost=40
Link 304: itemNo1=30, itemNo2=37, cost=58
Link 305: itemNo1=30, itemNo2=40, cost=12
Link 306: itemNo1=30, itemNo2=44, cost=2
Link 307: itemNo1=30, itemNo2=48, cost=8
Link 308: itemNo1=31, itemNo2=9, cost=32
Link 309: itemNo1=31, itemNo2=14, cost=77
Link 310: itemNo1=31, itemNo2=16, cost=96
Link 311: itemNo1=31, itemNo2=19, cost=83
Link 312: itemNo1=31, itemNo2=22, cost=55
Link 313: itemNo1=31, itemNo2=26, cost=88
Link 314: itemNo1=31, itemNo2=27, cost=24
Link 315: itemNo1=31, itemNo2=28, cost=19
Link 316: itemNo1=31, itemNo2=34, cost=43
Link 317: itemNo1=31, itemNo2=38, cost=29
Link 318: itemNo1=32, itemNo2=2, cost=80
Link 319: itemNo1=32, itemNo2=3, cost=7
Link 320: itemNo1=32, itemNo2=6, cost=37
Link 321: itemNo1=32, itemNo2=15, cost=99
Link 322: itemNo1=32, itemNo2=17, cost=94
Link 323: itemNo1=32, itemNo2=23, cost=41
Link 324: itemNo1=32, itemNo2=25, cost=48
Link 325: itemNo1=32, itemNo2=27, cost=59
Link 326: itemNo1=32, itemNo2=31, cost=69
Link 327: itemNo1=32, itemNo2=33, cost=95
Link 328: itemNo1=32, itemNo2=48, cost=33
Link 329: itemNo1=32, itemNo2=50, cost=24
Link 330: itemNo1=33, itemNo2=10, cost=97
Link 331: itemNo1=33, itemNo2=14, cost=98
Link 332: itemNo1=33, itemNo2=18, cost=56
Link 333: itemNo1=33, itemNo2=19, cost=24
Link 334: itemNo1=33, itemNo2=26, cost=39
Link 335: itemNo1=33, itemNo2=32, cost=42
Link 336: itemNo1=33, itemNo2=44, cost=56
Link 337: itemNo1=33, itemNo2=47, cost=97
Link 338: itemNo1=33, itemNo2=50, cost=68
Link 339: itemNo1=34, itemNo2=6, cost=86
Link 340: itemNo1=34, itemNo2=13, cost=42
Link 341: itemNo1=34, itemNo2=21, cost=67
Link 342: itemNo1=34, itemNo2=24, cost=18
Link 343: itemNo1=34, itemNo2=26, cost=79
Link 344: itemNo1=34, itemNo2=36, cost=55
Link 345: itemNo1=34, itemNo2=37, cost=72
Link 346: itemNo1=34, itemNo2=42, cost=45
Link 347: itemNo1=34, itemNo2=43, cost=97
Link 348: itemNo1=34, itemNo2=44, cost=56
Link 349: itemNo1=34, itemNo2=46, cost=83
Link 350: itemNo1=35, itemNo2=6, cost=5
Link 351: itemNo1=35, itemNo2=16, cost=9
Link 352: itemNo1=35, itemNo2=19, cost=87
Link 353: itemNo1=35, itemNo2=33, cost=66
Link 354: itemNo1=35, itemNo2=36, cost=97
Link 355: itemNo1=35, itemNo2=37, cost=39
Link 356: itemNo1=35, itemNo2=39, cost=7
Link 357: itemNo1=35, itemNo2=40, cost=77
Link 358: itemNo1=35, itemNo2=45, cost=51
Link 359: itemNo1=36, itemNo2=4, cost=50
Link 360: itemNo1=36, itemNo2=9, cost=32
Link 361: itemNo1=36, itemNo2=15, cost=2
Link 362: itemNo1=36, itemNo2=16, cost=24
Link 363: itemNo1=36, itemNo2=18, cost=29
Link 364: itemNo1=36, itemNo2=19, cost=26
Link 365: itemNo1=36, itemNo2=26, cost=79
Link 366: itemNo1=36, itemNo2=30, cost=66
Link 367: itemNo1=36, itemNo2=31, cost=18
Link 368: itemNo1=36, itemNo2=32, cost=89
Link 369: itemNo1=36, itemNo2=33, cost=55
Link 370: itemNo1=36, itemNo2=34, cost=6
Link 371: itemNo1=36, itemNo2=39, cost=6
Link 372: itemNo1=36, itemNo2=48, cost=63
Link 373: itemNo1=36, itemNo2=49, cost=18
Link 374: itemNo1=37, itemNo2=4, cost=76
Link 375: itemNo1=37, itemNo2=5, cost=51
Link 376: itemNo1=37, itemNo2=15, cost=76
Link 377: itemNo1=37, itemNo2=23, cost=23
Link 378: itemNo1=37, itemNo2=41, cost=94
Link 379: itemNo1=37, itemNo2=43, cost=73
Link 380: itemNo1=37, itemNo2=45, cost=60
Link 381: itemNo1=38, itemNo2=11, cost=46
Link 382: itemNo1=38, itemNo2=15, cost=87
Link 383: itemNo1=38, itemNo2=17, cost=26
Link 384: itemNo1=38, itemNo2=21, cost=95
Link 385: itemNo1=38, itemNo2=27, cost=29
Link 386: itemNo1=38, itemNo2=29, cost=57
Link 387: itemNo1=38, itemNo2=33, cost=91
Link 388: itemNo1=38, itemNo2=35, cost=26
Link 389: itemNo1=38, itemNo2=39, cost=62
Link 390: itemNo1=39, itemNo2=1, cost=50
Link 391: itemNo1=39, itemNo2=6, cost=98
Link 392: itemNo1=39, itemNo2=19, cost=49
Link 393: itemNo1=39, itemNo2=30, cost=93
Link 394: itemNo1=39, itemNo2=31, cost=84
Link 395: itemNo1=39, itemNo2=40, cost=65
Link 396: itemNo1=39, itemNo2=44, cost=65
Link 397: itemNo1=39, itemNo2=49, cost=93
Link 398: itemNo1=40, itemNo2=3, cost=64
Link 399: itemNo1=40, itemNo2=9, cost=50
Link 400: itemNo1=40, itemNo2=15, cost=10
Link 401: itemNo1=40, itemNo2=16, cost=70
Link 402: itemNo1=40, itemNo2=29, cost=24
Link 403: itemNo1=40, itemNo2=31, cost=29
Link 404: itemNo1=40, itemNo2=42, cost=16
Link 405: itemNo1=41, itemNo2=1, cost=53
Link 406: itemNo1=41, itemNo2=10, cost=69
Link 407: itemNo1=41, itemNo2=14, cost=40
Link 408: itemNo1=41, itemNo2=17, cost=86
Link 409: itemNo1=41, itemNo2=19, cost=4
Link 410: itemNo1=41, itemNo2=20, cost=71
Link 411: itemNo1=41, itemNo2=24, cost=53
Link 412: itemNo1=41, itemNo2=26, cost=29
Link 413: itemNo1=41, itemNo2=33, cost=12
Link 414: itemNo1=41, itemNo2=35, cost=55
Link 415: itemNo1=42, itemNo2=6, cost=4
Link 416: itemNo1=42, itemNo2=17, cost=79
Link 417: itemNo1=42, itemNo2=18, cost=46
Link 418: itemNo1=42, itemNo2=36, cost=40
Link 419: itemNo1=42, itemNo2=41, cost=66
Link 420: itemNo1=42, itemNo2=43, cost=64
Link 421: itemNo1=42, itemNo2=45, cost=79
Link 422: itemNo1=42, itemNo2=46, cost=9
Link 423: itemNo1=43, itemNo2=8, cost=81
Link 424: itemNo1=43, itemNo2=9, cost=84
Link 425: itemNo1=43, itemNo2=15, cost=70
Link 426: itemNo1=43, itemNo2=16, cost=68
Link 427: itemNo1=43, itemNo2=18, cost=34
Link 428: itemNo1=43, itemNo2=20, cost=42
Link 429: itemNo1=43, itemNo2=22, cost=34
Link 430: itemNo1=43, itemNo2=27, cost=81
Link 431: itemNo1=43, itemNo2=30, cost=86
Link 432: itemNo1=43, itemNo2=35, cost=64
Link 433: itemNo1=43, itemNo2=41, cost=66
Link 434: itemNo1=43, itemNo2=45, cost=19
Link 435: itemNo1=44, itemNo2=1, cost=7
Link 436: itemNo1=44, itemNo2=10, cost=30
Link 437: itemNo1=44, itemNo2=15, cost=91
Link 438: itemNo1=44, itemNo2=17, cost=13
Link 439: itemNo1=44, itemNo2=20, cost=93
Link 440: itemNo1=44, itemNo2=21, cost=7
