instance=17,n=25,m=20,d=5,type=B3
BinType:1, cost=1695
Link 56: itemNo1=12, itemNo2=6, cost=86
Link 57: itemNo1=13, itemNo2=5, cost=30
Link 58: itemNo1=13, itemNo2=16, cost=24
Link 59: itemNo1=13, itemNo2=17, cost=81
Link 60: itemNo1=13, itemNo2=22, cost=28
Link 61: itemNo1=13, itemNo2=23, cost=85
Link 62: itemNo1=14, itemNo2=1, cost=80
Link 63: itemNo1=14, itemNo2=4, cost=9
Link 64: itemNo1=14, itemNo2=6, cost=44
Link 65: itemNo1=14, itemNo2=8, cost=22
Link 66: itemNo1=14, itemNo2=10, cost=38
Link 67: itemNo1=14, itemNo2=15, cost=69
Link 68: itemNo1=14, itemNo2=16, cost=63
Link 69: itemNo1=14, itemNo2=19, cost=83
Link 70: itemNo1=14, itemNo2=20, cost=79
Link 71: itemNo1=15, itemNo2=4, cost=34
Link 72: itemNo1=15, itemNo2=7, cost=15
Link 73: itemNo1=15, itemNo2=12, cost=17
Link 74: itemNo1=15, itemNo2=19, cost=40
Link 75: itemNo1=15, itemNo2=20, cost=46
Link 76: itemNo1=15, itemNo2=22, cost=33
Link 77: itemNo1=16, itemNo2=1, cost=75
Link 78: itemNo1=16, itemNo2=3, cost=84
Link 79: itemNo1=16, itemNo2=4, cost=63
Link 80: itemNo1=16, itemNo2=19, cost=69
Link 81: itemNo1=16, itemNo2=21, cost=35
Link 82: itemNo1=16, itemNo2=24, cost=71
Link 83: itemNo1=17, itemNo2=3, cost=35
Link 84: itemNo1=17, itemNo2=5, cost=73
Link 85: itemNo1=17, itemNo2=6, cost=26
Link 86: itemNo1=17, itemNo2=15, cost=83
Link 87: itemNo1=17, itemNo2=16, cost=52
Link 88: itemNo1=17, itemNo2=24, cost=65
Link 89: itemNo1=18, itemNo2=3, cost=43
Link 90: itemNo1=18, itemNo2=10, cost=3
Link 91: itemNo1=18, itemNo2=11, cost=12
Link 92: itemNo1=18, itemNo2=13, cost=68
Link 93: itemNo1=18, itemNo2=24, cost=21
Link 94: itemNo1=18, itemNo2=25, cost=64
Link 95: itemNo1=19, itemNo2=2, cost=13
Link 96: itemNo1=19, itemNo2=3, cost=5
Link 97: itemNo1=19, itemNo2=11, cost=3
Link 98: itemNo1=19, itemNo2=13, cost=4
Link 99: itemNo1=19, itemNo2=14, cost=54
Link 100: itemNo1=19, itemNo2=15, cost=99
Link 101: itemNo1=19, itemNo2=16, cost=58
Link 102: itemNo1=19, itemNo2=20, cost=88
Link 103: itemNo1=19, itemNo2=23, cost=72
Link 104: itemNo1=20, itemNo2=17, cost=37
Link 105: itemNo1=20, itemNo2=18, cost=61
Link 106: itemNo1=20, itemNo2=22, cost=8
Link 107: itemNo1=21, itemNo2=3, cost=63
Link 108: itemNo1=21, itemNo2=6, cost=89
Link 109: itemNo1=21, itemNo2=7, cost=60
Link 110: itemNo1=21, itemNo2=8, cost=11
Link 111: itemNo1=21, itemNo2=10, cost=64
Link 112: itemNo1=21, itemNo2=23, cost=67
Link 113: itemNo1=21, itemNo2=25, cost=8
Link 114: itemNo1=22, itemNo2=2, cost=94
Link 115: itemNo1=22, itemNo2=7, cost=40
Link 116: itemNo1=22, itemNo2=11, cost=75
Link 117: itemNo1=22, itemNo2=15, cost=12
Link 118: itemNo1=22, itemNo2=21, cost=95
Link 119: itemNo1=23, itemNo2=2, cost=87
Link 120: itemNo1=23, itemNo2=11, cost=97
Link 121: itemNo1=23, itemNo2=12, cost=26
Link 122: itemNo1=23, itemNo2=18, cost=43
Link 123: itemNo1=23, itemNo2=19, cost=83
Link 124: itemNo1=23, itemNo2=21, cost=52
Link 125: itemNo1=23, itemNo2=25, cost=76
Link 126: itemNo1=24, itemNo2=10, cost=50
Link 127: itemNo1=24, itemNo2=17, cost=83
Link 128: itemNo1=24, itemNo2=21, cost=29
Link 129: itemNo1=24, itemNo2=25, cost=29
Link 130: itemNo1=25, itemNo2=2, cost=91
Link 131: itemNo1=25, itemNo2=15, cost=16
Link 132: itemNo1=25, itemNo2=17, cost=32
Link 133: itemNo1=25, itemNo2=18, cost=37
