instance=8,n=25,m=20,d=3,type=B2
BinType:1, cost=423
Link 84: itemNo1=13, itemNo2=22, cost=28
Link 85: itemNo1=13, itemNo2=23, cost=85
Link 86: itemNo1=14, itemNo2=15, cost=69
Link 87: itemNo1=14, itemNo2=16, cost=63
Link 88: itemNo1=14, itemNo2=19, cost=54
Link 89: itemNo1=14, itemNo2=20, cost=79
Link 90: itemNo1=15, itemNo2=17, cost=83
Link 91: itemNo1=15, itemNo2=19, cost=99
Link 92: itemNo1=15, itemNo2=20, cost=46
Link 93: itemNo1=15, itemNo2=22, cost=12
Link 94: itemNo1=15, itemNo2=25, cost=16
Link 95: itemNo1=16, itemNo2=17, cost=52
Link 96: itemNo1=16, itemNo2=19, cost=58
Link 97: itemNo1=16, itemNo2=21, cost=35
Link 98: itemNo1=16, itemNo2=24, cost=71
Link 99: itemNo1=17, itemNo2=20, cost=37
Link 100: itemNo1=17, itemNo2=24, cost=83
Link 101: itemNo1=17, itemNo2=25, cost=32
Link 102: itemNo1=18, itemNo2=20, cost=61
Link 103: itemNo1=18, itemNo2=23, cost=43
Link 104: itemNo1=18, itemNo2=24, cost=21
Link 105: itemNo1=18, itemNo2=25, cost=37
Link 106: itemNo1=19, itemNo2=20, cost=88
Link 107: itemNo1=19, itemNo2=23, cost=83
Link 108: itemNo1=20, itemNo2=22, cost=8
Link 109: itemNo1=21, itemNo2=22, cost=95
Link 110: itemNo1=21, itemNo2=23, cost=52
Link 111: itemNo1=21, itemNo2=24, cost=29
Link 112: itemNo1=21, itemNo2=25, cost=8
Link 113: itemNo1=23, itemNo2=25, cost=76
Link 114: itemNo1=24, itemNo2=25, cost=29
