instance=15,n=25,m=50,d=3,type=B3
BinType:1, cost=851
Link 38: itemNo1=6, itemNo2=7, cost=61
Link 39: itemNo1=6, itemNo2=12, cost=86
Link 40: itemNo1=6, itemNo2=14, cost=44
Link 41: itemNo1=6, itemNo2=16, cost=4
Link 42: itemNo1=6, itemNo2=17, cost=26
Link 43: itemNo1=6, itemNo2=21, cost=89
Link 44: itemNo1=6, itemNo2=25, cost=3
Link 45: itemNo1=7, itemNo2=8, cost=45
Link 46: itemNo1=7, itemNo2=9, cost=86
Link 47: itemNo1=7, itemNo2=11, cost=69
Link 48: itemNo1=7, itemNo2=15, cost=15
Link 49: itemNo1=7, itemNo2=19, cost=38
Link 50: itemNo1=7, itemNo2=20, cost=78
Link 51: itemNo1=7, itemNo2=21, cost=60
Link 52: itemNo1=7, itemNo2=22, cost=40
Link 53: itemNo1=8, itemNo2=9, cost=48
Link 54: itemNo1=8, itemNo2=11, cost=50
Link 55: itemNo1=8, itemNo2=13, cost=60
Link 56: itemNo1=8, itemNo2=14, cost=22
Link 57: itemNo1=8, itemNo2=19, cost=54
Link 58: itemNo1=8, itemNo2=21, cost=11
Link 59: itemNo1=8, itemNo2=23, cost=59
Link 60: itemNo1=9, itemNo2=10, cost=43
Link 61: itemNo1=9, itemNo2=16, cost=41
Link 62: itemNo1=9, itemNo2=18, cost=83
Link 63: itemNo1=10, itemNo2=11, cost=68
Link 64: itemNo1=10, itemNo2=13, cost=38
Link 65: itemNo1=10, itemNo2=14, cost=38
Link 66: itemNo1=10, itemNo2=15, cost=26
Link 67: itemNo1=10, itemNo2=17, cost=38
Link 68: itemNo1=10, itemNo2=18, cost=3
Link 69: itemNo1=10, itemNo2=21, cost=64
Link 70: itemNo1=10, itemNo2=22, cost=73
Link 71: itemNo1=10, itemNo2=24, cost=50
Link 72: itemNo1=10, itemNo2=25, cost=42
Link 73: itemNo1=11, itemNo2=18, cost=12
Link 74: itemNo1=11, itemNo2=19, cost=3
Link 75: itemNo1=11, itemNo2=22, cost=75
Link 76: itemNo1=11, itemNo2=23, cost=97
Link 77: itemNo1=11, itemNo2=25, cost=80
Link 78: itemNo1=12, itemNo2=15, cost=17
Link 79: itemNo1=12, itemNo2=23, cost=26
Link 80: itemNo1=13, itemNo2=16, cost=24
Link 81: itemNo1=13, itemNo2=17, cost=81
Link 82: itemNo1=13, itemNo2=18, cost=68
Link 83: itemNo1=13, itemNo2=19, cost=4
Link 84: itemNo1=13, itemNo2=22, cost=28
Link 85: itemNo1=13, itemNo2=23, cost=85
Link 86: itemNo1=14, itemNo2=15, cost=69
Link 87: itemNo1=14, itemNo2=16, cost=63
Link 88: itemNo1=14, itemNo2=19, cost=54
Link 89: itemNo1=14, itemNo2=20, cost=79
Link 90: itemNo1=15, itemNo2=17, cost=83
Link 91: itemNo1=15, itemNo2=19, cost=99
Link 92: itemNo1=15, itemNo2=20, cost=46
Link 93: itemNo1=15, itemNo2=22, cost=12
Link 94: itemNo1=15, itemNo2=25, cost=16
Link 95: itemNo1=16, itemNo2=17, cost=52
Link 96: itemNo1=16, itemNo2=19, cost=58
Link 97: itemNo1=16, itemNo2=21, cost=35
Link 98: itemNo1=16, itemNo2=24, cost=71
Link 99: itemNo1=17, itemNo2=20, cost=37
Link 100: itemNo1=17, itemNo2=24, cost=83
Link 101: itemNo1=17, itemNo2=25, cost=32
Link 102: itemNo1=18, itemNo2=20, cost=61
Link 103: itemNo1=18, itemNo2=23, cost=43
Link 104: itemNo1=18, itemNo2=24, cost=21
Link 105: itemNo1=18, itemNo2=25, cost=37
Link 106: itemNo1=19, itemNo2=20, cost=88
Link 107: itemNo1=19, itemNo2=23, cost=83
Link 108: itemNo1=20, itemNo2=22, cost=8
Link 109: itemNo1=21, itemNo2=22, cost=95
Link 110: itemNo1=21, itemNo2=23, cost=52
Link 111: itemNo1=21, itemNo2=24, cost=29
Link 112: itemNo1=21, itemNo2=25, cost=8
Link 113: itemNo1=23, itemNo2=25, cost=76
Link 114: itemNo1=24, itemNo2=25, cost=29
